gene_ID,pathway_count
hsa:119391,12
hsa:84790,12
hsa:3310,12
hsa:7846,12
hsa:3303,12
hsa:441925,12
hsa:4541,12
hsa:79861,12
hsa:2944,12
hsa:2946,12
hsa:6513,12
hsa:2947,12
hsa:245972,12
hsa:2948,12
hsa:2949,12
hsa:1906,12
hsa:7278,12
hsa:7277,12
hsa:3908,12
hsa:948,12
hsa:2952,12
hsa:653361,12
hsa:653689,12
hsa:8678,12
hsa:999,12
hsa:920,12
hsa:2335,12
hsa:2538,12
hsa:10105,12
hsa:6543,12
hsa:6546,12
hsa:6547,12
hsa:1738,12
hsa:2953,12
hsa:3570,12
hsa:2941,12
hsa:4540,12
hsa:3561,12
hsa:2938,12
hsa:92579,12
hsa:2939,12
hsa:2806,12
hsa:38,12
hsa:57818,12
hsa:8471,12
hsa:4067,12
hsa:890,12
hsa:8900,12
hsa:9446,12
hsa:2940,12
hsa:3627,12
hsa:4535,12
hsa:4536,12
hsa:51807,12
hsa:8310,12
hsa:4537,12
hsa:4538,12
hsa:4539,12
hsa:840,12
hsa:10672,12
hsa:2982,11
hsa:2977,11
hsa:2983,11
hsa:1278,11
hsa:22800,11
hsa:1277,11
hsa:22808,11
hsa:916,11
hsa:26291,11
hsa:2246,11
hsa:4633,11
hsa:915,11
hsa:3815,11
hsa:8823,11
hsa:5700,11
hsa:498,11
hsa:2149,11
hsa:4914,11
hsa:2255,11
hsa:4508,11
hsa:4509,11
hsa:10312,11
hsa:2254,11
hsa:25,11
hsa:506,11
hsa:2253,11
hsa:50617,11
hsa:2248,11
hsa:2252,11
hsa:2251,11
hsa:2250,11
hsa:1649,11
hsa:26281,11
hsa:3695,11
hsa:4776,11
hsa:2081,11
hsa:8822,11
hsa:2249,11
hsa:509,11
hsa:2950,11
hsa:5521,11
hsa:27040,11
hsa:5522,11
hsa:5468,11
hsa:3559,11
hsa:3560,11
hsa:2209,11
hsa:10398,11
hsa:8074,11
hsa:4313,11
hsa:515,11
hsa:1131,11
hsa:522,11
hsa:2768,11
hsa:5588,11
hsa:1436,11
hsa:5315,11
hsa:8817,11
hsa:516,11
hsa:51606,11
hsa:3675,11
hsa:539,11
hsa:517,11
hsa:6548,11
hsa:23365,11
hsa:27006,11
hsa:10476,11
hsa:1571,11
hsa:535,11
hsa:7184,11
hsa:6387,11
hsa:518,11
hsa:847,11
hsa:23411,11
hsa:55844,11
hsa:8454,11
hsa:137362,11
hsa:409,11
hsa:5520,11
hsa:153,11
hsa:51196,11
hsa:23545,11
hsa:1535,11
hsa:513,11
hsa:408,11
hsa:114548,11
hsa:6500,11
hsa:5140,11
hsa:23533,11
hsa:146850,11
hsa:2805,11
hsa:1892,11
hsa:514,11
hsa:57521,11
hsa:1962,11
hsa:527,11
hsa:1544,11
hsa:949,10
hsa:245973,10
hsa:5320,10
hsa:5322,10
hsa:3760,10
hsa:3949,10
hsa:84647,10
hsa:3763,10
hsa:6197,10
hsa:6196,10
hsa:534,10
hsa:203068,10
hsa:533,10
hsa:3932,10
hsa:64600,10
hsa:4791,10
hsa:3693,10
hsa:7424,10
hsa:9138,10
hsa:4688,10
hsa:9564,10
hsa:127124,10
hsa:1543,10
hsa:3162,10
hsa:2185,10
hsa:128,10
hsa:917,10
hsa:1576,10
hsa:1282,10
